K,T,rep,density,rho_true,rho_naive,rho_corrected,radius_error_naive,radius_error_corrected,rel_frob_naive,rel_frob_corrected,support_auc_naive,support_auc_corrected,support_ap_naive,support_ap_corrected,support_f1_oracle_naive,support_f1_oracle_corrected,perron_cos_naive,perron_cos_corrected,projection_error
50,1000,3,0.098,0.6499999999999987,0.9353332865374941,0.7476290930525061,0.28533328653749546,0.09762909305250744,0.13783501974243512,0.07470274890761948,0.9838418027965067,0.9858817141047106,0.9472718922598329,0.9502708730331512,0.889795918367347,0.889795918367347,0.9768384138626266,0.9948918461750877,0.08913923243555143
50,1000,4,0.0976,0.6499999999999988,0.9353515214272429,0.7537552061005097,0.28535152142724407,0.10375520610051092,0.13758331199417573,0.07531452480552826,0.9974603243808859,0.9978636205092432,0.9849058816755398,0.9859675876204697,0.9385245901639344,0.9385245901639344,0.9720301348774014,0.9929654441918991,0.08751199354954364
50,5000,0,0.0896,0.6499999999999991,0.9130525781905763,0.7029114255666785,0.26305257819057715,0.05291142556667938,0.09115410092693432,0.030515789296028065,0.9998921196334422,0.9999921541551594,0.9991129067409338,0.999921679197995,0.9955357142857143,0.9955357142857143,0.9768468840613278,0.9977685872328893,0.03961751513901829
50,5000,1,0.0992,0.6500000000000019,0.9094241111236256,0.7019241220146357,0.25942411112362374,0.05192412201463381,0.0954216030677887,0.03256262005714427,0.9968737466338166,0.9969516343895032,0.9963751333706689,0.9963677419354838,0.9919354838709677,0.9959677419354839,0.9619648306788919,0.9967379381568342,0.04232407350775655
50,5000,2,0.092,0.6499999999999996,0.9114121405581002,0.7133025293231454,0.2614121405581006,0.06330252932314584,0.0828913685972271,0.030737923617580157,0.9997471748707144,0.9996916299559472,0.998284741209583,0.9981973728854636,0.9869565217391304,0.9956521739130435,0.9793479951664825,0.9974787442346502,0.03906125201887047
50,5000,3,0.1032,0.6500000000000005,0.9141999998959296,0.6953487538824803,0.2641999998959291,0.04534875388247983,0.11504233871073026,0.03649274610424277,0.9990699057458388,0.9996749856509622,0.9959234854257119,0.997787737301612,0.9844961240310077,0.9883720930232558,0.9722146748550344,0.9979671592388409,0.0489204638571714
50,5000,4,0.1008,0.6500000000000001,0.9127181505902151,0.7004423209274797,0.26271815059021497,0.05044232092747958,0.1024140073793944,0.03362116176477667,0.9999982347624696,1.0,0.9999843152017065,1.0,0.996031746031746,1.0,0.9854546766375847,0.9981254925604164,0.04429293341673156
50,20000,0,0.1012,0.6500000000000004,0.908463890180157,0.6646564209033713,0.2584638901801567,0.014656420903370937,0.13152648222724236,0.01915961594496825,0.9998979755176424,0.9999243611596313,0.9991911969135496,0.9994258092084178,0.9881422924901185,0.9960474308300395,0.9329040764727872,0.9988080530316176,0.025846815342170947
50,20000,1,0.0968,0.6499999999999994,0.9105029827424118,0.671967693047727,0.26050298274241246,0.02196769304772761,0.10811790481377861,0.01809436069776368,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9780291586161514,0.999483610121863,0.02410131693151432
50,20000,2,0.0892,0.6499999999999982,0.9105169748336597,0.6710883764452001,0.26051697483366143,0.021088376445201895,0.10856886703966394,0.01797152728260843,1.0,1.0,1.0,1.0,1.0,1.0,0.96458579065825,0.9991650479427205,0.023911538394787248
50,20000,3,0.0908,0.6499999999999989,0.9102985876378554,0.6796114258804091,0.2602985876378565,0.029611425880410214,0.08326268484471283,0.015838152022032162,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9776870757495585,0.9995468902945172,0.02123571917539598
50,20000,4,0.1008,0.6500000000000006,0.9107176953656033,0.6726093828827436,0.26071769536560274,0.022609382882743057,0.09816874192727458,0.017175214742512906,0.999917033836073,1.0,0.9993762276370972,1.0,0.996031746031746,1.0,0.9844485344274726,0.9996246298574442,0.023316109693863978
100,1000,0,0.0512,0.6499999999999992,1.026624466121481,0.8691874802115326,0.3766244661214817,0.21918748021153334,0.14638550241555937,0.10683698039013886,0.9888227440253478,0.988666090555175,0.9520338834773607,0.9506528995924267,0.904296875,0.904296875,0.9603136359936854,0.9785313395987927,0.1112298243219469
100,1000,1,0.0493,0.6500000000000005,1.0316049724082708,0.8663336419720595,0.3816049724082703,0.21633364197205907,0.14661067032604028,0.10550935465534891,0.9901183093230546,0.9910515386228702,0.9535416927636063,0.955007646748354,0.9006085192697769,0.9006085192697769,0.9638141091113607,0.9816209110614483,0.1111778775469599
100,1000,2,0.0511,0.6500000000000008,1.0249340263168367,0.8641829160594895,0.3749340263168359,0.2141829160594887,0.15988139735684748,0.11608490956125211,0.9909364618090079,0.9903676705481824,0.9479688202809504,0.9480940462008861,0.8825831702544031,0.8864970645792564,0.9660631861020665,0.9839401825880059,0.12069419938820501
100,1000,3,0.048,0.6499999999999999,1.0304862685489882,0.8623440439041103,0.38048626854898826,0.21234404390411044,0.1453392112185678,0.10468228733612153,0.990140056022409,0.990178680847339,0.9536528235461638,0.9535349024479954,0.90625,0.9083333333333333,0.9534076142881633,0.9747099094810163,0.10930195329600925
100,1000,4,0.0491,0.6500000000000002,1.0259693341482112,0.8686411632419951,0.375969334148211,0.2186411632419949,0.14411240614003357,0.10470080648317882,0.9928306745094528,0.9932184516373062,0.9598207813705201,0.959962929737707,0.9124236252545825,0.9063136456211812,0.9676966331303887,0.9825161625629693,0.10884995446342625
100,5000,0,0.052,0.6500000000000022,0.9274977886209645,0.7402533786173827,0.2774977886209623,0.09025337861738048,0.10329027810521099,0.05147242944946236,0.999494482310938,0.9995200421940929,0.9963876607679426,0.9965491077969549,0.9903846153846154,0.9903846153846154,0.9676621347875298,0.9926306887623039,0.06272432932263311
100,5000,1,0.0486,0.6500000000000004,0.9325230594589421,0.7406912204397602,0.28252305945894174,0.09069122043975986,0.09447181889585739,0.04638726838432968,0.9984456521080911,0.9983981803726975,0.9970209321549558,0.9972171992052027,0.9917695473251029,0.9938271604938271,0.9605627034651234,0.9911985742382021,0.05694521535266666
100,5000,2,0.0514,0.6500000000000017,0.9289568125256664,0.7474857857998134,0.27895681252566473,0.09748578579981171,0.09176079230549145,0.047089187872288746,0.9994478859281464,0.9993797945938762,0.9973206157062239,0.9977754432952511,0.9922178988326849,0.9922178988326849,0.970656819250246,0.9937342379350828,0.05664400513248912
100,5000,3,0.0519,0.6499999999999995,0.9361645798125144,0.7469749271459827,0.286164579812515,0.09697492714598321,0.09222168636893457,0.04699178075161066,0.996523723849687,0.9970976330513172,0.9908443592686969,0.9912285431113405,0.9845857418111753,0.9865125240847784,0.9645899517574723,0.9922934970354348,0.05666713274850836
100,5000,4,0.0461,0.6500000000000017,0.9351751277039968,0.7566400454983331,0.2851751277039951,0.10664004549833139,0.08301608254162098,0.04432994181752027,0.9999515631569815,0.9999599770686796,0.9991795548565666,0.9993112856199764,0.9934924078091106,0.9934924078091106,0.9609224407373439,0.9894556689474574,0.052124323076347116
100,20000,0,0.0491,0.6500000000000008,0.9105473480029261,0.7023122931703543,0.26054734800292534,0.05231229317035346,0.07328063498653876,0.023331961721764452,0.99982779739807,0.9998847699006986,0.9984443971501418,0.998563270558934,0.9938900203665988,0.9959266802443992,0.9822174577246525,0.9980268781628151,0.03085579074337884
100,20000,1,0.0511,0.6499999999999994,0.9116769223524388,0.6998451020797696,0.26167692235243944,0.04984510207977022,0.07425313855006821,0.02347052395530677,0.9999997937667655,0.9999993813002964,0.9999961778375734,0.9999885781294022,0.9980430528375733,0.9980430528375733,0.9681418680387165,0.997286259537852,0.03126868536220293
100,20000,2,0.0454,0.6500000000000015,0.9141088558806256,0.7005720072133628,0.26410885588062416,0.0505720072133613,0.06610761723823012,0.020678738541975775,0.9999464683411,0.9999882322646384,0.9992550827757157,0.9997775548479958,0.9977973568281938,0.9977973568281938,0.9620064134873316,0.9963878282776784,0.027582577111788655
100,20000,3,0.0504,0.649999999999999,0.9116719996940121,0.697908653028031,0.2616719996940131,0.04790865302803193,0.07682132129766593,0.023668715209921396,0.999963852783461,0.9999820308634546,0.999479578673413,0.9997097291252539,0.996031746031746,0.998015873015873,0.9654252728758735,0.9970799685976452,0.03164157095292273
100,20000,4,0.0488,0.6499999999999989,0.9120588083939363,0.6978709702112396,0.26205880839393736,0.04787097021124065,0.07806133369633023,0.024108645774533862,0.99999590680969,0.999999784568931,0.9999229051170953,0.9999958094471822,0.9979508196721312,0.9979508196721312,0.9823527719920899,0.9986132690795877,0.032263227289414186
