window,window_kind,event_type,q,bin,lags,half_life,drive_mode,drive_timing,K,T_eff,events_total,min_events_asset,rho_naive,rho_drive,delta_rho,critical_to_subcritical,rank1_delta,kappa_median,kappa_min,spike_ratio,loading_alignment,null_p_ge_observed,alg1_applicable,rho_alg1,zero_witness_pass_cols,zero_witness_min_sep,delta_rho_boot_p025,delta_rho_boot_p05,delta_rho_boot_p50,delta_rho_boot_p95,delta_rho_boot_p975,delta_rho_boot_pos_share,K_requested
Banking_crypto,shock,volume_burst,0.95,1min,60,10,loo_market_activity,lag1,10,5700,2860,288,0.9212012631186873,0.8113425966837489,0.10985866643493847,False,0.7123808981823264,0.5934999977599769,0.5922774648089147,4.622748231341078,0.9951346089421076,0.07692307692307693,False,,1,0.6276589055849089,0.03454932755231233,0.039206471531605974,0.1295125180345485,0.2741081713735913,0.2860790340387351,1.0,10
Banking_crypto,shock,volume_burst,0.95,1min,60,10,loo_market_activity,lag1,15,5700,4285,288,0.9359700524565681,0.8088284794660845,0.12714157299048356,False,0.6571297656113259,0.5659541450096158,0.5641333443430041,4.980038483928758,0.9945452980443596,0.07692307692307693,False,,4,0.5767617619837403,0.027706002725573727,0.03290854340187996,0.09571334925914843,0.18517245835942778,0.18966725075934565,1.0,15
Banking_crypto,shock,volume_burst,0.95,1min,60,10,loo_market_activity,lag1,20,5700,5718,288,0.944290611339362,0.8090939193532329,0.13519669198612905,False,0.5505711124396713,0.5502810837060975,0.5478626827360472,5.441765598163518,0.9928565154092225,0.07692307692307693,False,,8,0.5005456483255021,0.06429307829722497,0.07254701805770039,0.12100320249704699,0.25341440207508004,0.2793886136076183,1.0,20
Banking_crypto,shock,volume_burst,0.95,1min,60,10,loo_market_activity,lag1,25,5700,7133,288,0.9480496656457342,0.8106069717209367,0.13744269392479758,False,0.4957517556688349,0.546774091238414,0.5444519466460361,5.904080624873538,0.9915234245356621,0.07692307692307693,False,,13,0.5207356165045378,0.053562352684739384,0.061807051347615556,0.12513354252122183,0.24508841740745327,0.29148938566238136,1.0,25
Banking_crypto,shock,volume_burst,0.95,1min,60,10,loo_market_activity,lag1,30,5700,8553,288,0.9502568235184647,0.8143002853278153,0.13595653819064946,False,0.4874834434966271,0.5385967146391434,0.5358485223102514,6.722307210656817,0.9906966270768844,0.07692307692307693,False,,11,0.5524030577968976,0.063752446742629,0.06628695668750301,0.11368152399448272,0.26281111583690386,0.27904385650414115,1.0,30
Banking_crypto,shock,volume_burst,0.97,1min,60,10,loo_market_activity,lag1,5,5700,860,173,0.8932900372158913,0.7970388704406834,0.09625116677520784,False,0.8569963377464552,0.6691914655768642,0.6647671501047245,3.299460837042,0.9919811118956523,0.07692307692307693,False,,0,0.6230798152566445,0.03280883563882392,0.041588001353809814,0.14405612539881518,0.26980834868242065,0.28241770295824076,1.0,5
Banking_crypto,shock,volume_burst,0.97,1min,60,10,loo_market_activity,lag1,10,5700,1723,173,0.9037637041823497,0.7971858866931483,0.10657781748920148,False,0.6785898333587908,0.6216511051144111,0.6186749403215949,5.001321286288362,0.9925417214148674,0.07692307692307693,False,,1,0.7116725098066013,0.020771450317593008,0.02209645220737152,0.10940569618824036,0.27761697361535365,0.28080976844056915,1.0,10
Banking_crypto,shock,volume_burst,0.97,1min,60,10,loo_market_activity,lag1,15,5700,2582,173,0.9344034971280318,0.8054940076685404,0.12890948945949143,False,0.6747664784360622,0.5965344146656973,0.5939885559536551,5.093849655501359,0.9914124262150491,0.07692307692307693,False,,5,0.5927486358634018,0.038708471116019695,0.04272610082345274,0.13214655822312166,0.27050777246943675,0.28270764616543903,1.0,15
Banking_crypto,shock,volume_burst,0.97,1min,60,10,loo_market_activity,lag1,20,5700,3445,173,0.9382849179756799,0.795203847015163,0.14308107096051692,False,0.6355223639039548,0.577592718269693,0.5754957696162346,5.604856480832165,0.9866189980424116,0.07692307692307693,False,,10,0.5595024060290936,0.07475039466046801,0.08804756007021881,0.15864848128368025,0.26137993522628644,0.27301403933194385,1.0,20
Banking_crypto,shock,volume_burst,0.97,1min,60,10,loo_market_activity,lag1,25,5700,4293,173,0.9410496287303162,0.7990999853750699,0.1419496433552463,False,0.6478344958846384,0.5720539875381692,0.5694892143960986,6.2599130359299755,0.9881243604715952,0.07692307692307693,False,,10,0.5727583959467356,0.047978099726531456,0.0528187448820617,0.12662580551375657,0.20038181697288826,0.20932057556754052,1.0,25
